gid_500,gid_100,gid,grid_x,grid_y,geometry
3,0,다사646527,1929,3905,"POLYGON ((964600 1952700, 964600 1952800, 964700 1952800, 964700 1952700, 964600 1952700))"
3,1,다사647527,1929,3905,"POLYGON ((964700 1952700, 964700 1952800, 964800 1952800, 964800 1952700, 964700 1952700))"
3,3,다사645526,1929,3905,"POLYGON ((964500 1952600, 964500 1952700, 964600 1952700, 964600 1952600, 964500 1952600))"
3,4,다사646526,1929,3905,"POLYGON ((964600 1952600, 964600 1952700, 964700 1952700, 964700 1952600, 964600 1952600))"
3,5,다사647526,1929,3905,"POLYGON ((964700 1952600, 964700 1952700, 964800 1952700, 964800 1952600, 964700 1952600))"
3,6,다사648526,1929,3905,"POLYGON ((964800 1952600, 964800 1952700, 964900 1952700, 964900 1952600, 964800 1952600))"
3,7,다사649526,1929,3905,"POLYGON ((964900 1952600, 964900 1952700, 965000 1952700, 965000 1952600, 964900 1952600))"
3,17,다사645525,1929,3905,"POLYGON ((964500 1952500, 964500 1952600, 964600 1952600, 964600 1952500, 964500 1952500))"
3,18,다사646525,1929,3905,"POLYGON ((964600 1952500, 964600 1952600, 964700 1952600, 964700 1952500, 964600 1952500))"
3,19,다사647525,1929,3905,"POLYGON ((964700 1952500, 964700 1952600, 964800 1952600, 964800 1952500, 964700 1952500))"
3,20,다사648525,1929,3905,"POLYGON ((964800 1952500, 964800 1952600, 964900 1952600, 964900 1952500, 964800 1952500))"
3,21,다사649525,1929,3905,"POLYGON ((964900 1952500, 964900 1952600, 965000 1952600, 965000 1952500, 964900 1952500))"
7,31,다사635524,1927,3904,"POLYGON ((963500 1952400, 963500 1952500, 963600 1952500, 963600 1952400, 963500 1952400))"
7,32,다사636524,1927,3904,"POLYGON ((963600 1952400, 963600 1952500, 963700 1952500, 963700 1952400, 963600 1952400))"
7,53,다사635523,1927,3904,"POLYGON ((963500 1952300, 963500 1952400, 963600 1952400, 963600 1952300, 963500 1952300))"
7,54,다사636523,1927,3904,"POLYGON ((963600 1952300, 963600 1952400, 963700 1952400, 963700 1952300, 963600 1952300))"
7,55,다사637523,1927,3904,"POLYGON ((963700 1952300, 963700 1952400, 963800 1952400, 963800 1952300, 963700 1952300))"
7,56,다사638523,1927,3904,"POLYGON ((963800 1952300, 963800 1952400, 963900 1952400, 963900 1952300, 963800 1952300))"
7,57,다사639523,1927,3904,"POLYGON ((963900 1952300, 963900 1952400, 964000 1952400, 964000 1952300, 963900 1952300))"
