road_name,geometry
긴고랑로46길,"LINESTRING (14148135.375941122 4517468.559087157, 14148177.488104487 4517468.882072168)"
긴고랑로44길,"LINESTRING (14148142.354498778 4517377.733043953, 14148145.76204961 4517333.383713578)"
긴고랑로44길,"LINESTRING (14148135.375941122 4517468.559087157, 14148142.354498778 4517377.733043953)"
긴고랑로,"LINESTRING (14148112.188740617 4517434.416172506, 14148104.42912268 4517422.9902147725)"
긴고랑로,"LINESTRING (14148135.375941122 4517468.559087157, 14148112.188740617 4517434.416172506)"
긴고랑로,"LINESTRING (14148237.560938437 4517590.593582945, 14148239.83815128 4517600.50631585, 14148241.83479697 4517631.314594699)"
긴고랑로,"LINESTRING (14148181.654747164 4517504.47793087, 14148201.922732718 4517520.208730079, 14148215.80427322 4517532.875429673, 14148229.68581372 4517556.313077233, 14148237.560938437 4517590.593582945)"
긴고랑로,"LINESTRING (14148241.83479697 4517631.314594699, 14148243.879048796 4517662.857437088, 14148254.84401864 4517701.349609822, 14148271.931560477 4517747.734200208)"
긴고랑로,"LINESTRING (14148135.375941122 4517468.559087157, 14148181.654747164 4517504.47793087)"
긴고랑로45길,"LINESTRING (14148132.64242934 4517504.265953451, 14148129.353556668 4517547.227296303, 14148194.308479548 4517601.994874326, 14148212.075070279 4517605.168594045)"
긴고랑로45길,"LINESTRING (14148135.375941122 4517468.559087157, 14148132.64242934 4517504.265953451)"
긴고랑로42길,"LINESTRING (14147933.887662785 4517295.566939036, 14147934.87840625 4517266.709447734)"
긴고랑로,"LINESTRING (14147933.887662785 4517295.566939036, 14147883.270690322 4517280.625629467)"
긴고랑로,"LINESTRING (14147986.729632542 4517299.285715014, 14147994.946403485 4517299.863973745, 14148023.544380669 4517311.926574078, 14148042.702465037 4517328.70751385, 14148047.24430026 4517334.436912002)"
긴고랑로,"LINESTRING (14147933.887662785 4517295.566939036, 14147986.729632542 4517299.285715014)"
긴고랑로41길,"LINESTRING (14147883.270690322 4517280.625629467, 14147893.723590506 4517339.365882041)"
긴고랑로,"LINESTRING (14147883.270690322 4517280.625629467, 14147933.887662785 4517295.566939036)"
긴고랑로,"LINESTRING (14147883.270690322 4517280.625629467, 14147860.80058095 4517273.729740769)"
긴고랑로,"LINESTRING (14147860.80058095 4517273.729740769, 14147883.270690322 4517280.625629467)"
긴고랑로35길,"LINESTRING (14147417.795218274 4517374.571890837, 14147413.001501465 4517405.787841515)"
용마산로10길,"LINESTRING (14147355.533973988 4517527.9947942905, 14147355.894602688 4517528.044668817)"
용마산로14길,"LINESTRING (14147355.137188636 4517618.862543251, 14147379.79489736 4517621.96404717)"
용마산로16길,"LINESTRING (14147354.557010239 4517751.725050689, 14147359.74625707 4517752.466760046)"
용마산로30길,"LINESTRING (14147224.588028895 4518647.788515783, 14147244.831146723 4518669.584576154)"
용마산로28길,"LINESTRING (14147224.956494102 4518563.659753404, 14147259.914937725 4518551.569824383)"
동일로,"LINESTRING (14144096.86209914 4513588.40178974, 14144137.113790298 4513679.142576498, 14144141.771424878 4513689.645867507)"
능동로3다길,"LINESTRING (14144668.196816973 4513609.712130345, 14144671.73677678 4513613.193468075, 14144717.255316565 4513656.429533126, 14144726.483385643 4513664.830773146)"
뚝섬로22길,"LINESTRING (14144346.483488584 4513815.407833605, 14144347.794078024 4513815.8416335685)"
뚝섬로22길,"LINESTRING (14144347.794078024 4513815.8416335685, 14144351.788186295 4513817.163667737)"
자양로,"LINESTRING (14147411.454160543 4513061.205332511, 14147404.646768792 4513071.868357195)"
자양로,"LINESTRING (14147458.98128316 4512945.585046892, 14147494.40944508 4512886.685830101)"
자양로,"LINESTRING (14147395.357362173 4513051.491792245, 14147422.085171914 4513006.9247251935, 14147458.98128316 4512945.585046892)"
자양로,"LINESTRING (14147382.861495122 4513071.772663569, 14147395.357362173 4513051.491792245)"
천호대로,"LINESTRING (14149452.641739575 4515056.237462056, 14149493.71013407 4515105.402036727)"
"광나루로, 강동대로","LINESTRING (14148728.775618743 4514329.657754903, 14148717.424257938 4514342.8602975365)"
"광나루로, 강동대로","LINESTRING (14148717.424257938 4514342.8602975365, 14148697.12748751 4514366.467068698, 14148637.88325451 4514436.407929251, 14148629.03953803 4514445.7344386345)"
"광나루로, 강동대로","LINESTRING (14148629.03953803 4514445.7344386345, 14148607.047494717 4514468.927063453)"
구의강변로1길,"LINESTRING (14147573.380629603 4513199.132158103, 14147576.696812676 4513197.981919875, 14147591.146998314 4513199.209986189)"
강변역로4길,"LINESTRING (14148149.268613571 4513807.925621929, 14148138.081004746 4513793.017366198, 14148129.05299404 4513781.253616303, 14148127.875289332 4513779.991000306)"
"광나루로, 강동대로","LINESTRING (14148802.624990378 4514216.6866063895, 14148851.716864375 4514156.366523084)"
"광나루로, 강동대로","LINESTRING (14148702.173999073 4514342.795131214, 14148750.694426479 4514280.494639885, 14148755.770304425 4514274.257815832)"
"광나루로, 강동대로","LINESTRING (14148629.108051063 4514429.5879068, 14148629.356181517 4514429.304319925, 14148688.767393753 4514360.009284986, 14148702.173999073 4514342.795131214)"
"광나루로, 강동대로","LINESTRING (14148755.770304425 4514274.257815832, 14148802.624990378 4514216.6866063895)"
"광나루로, 강동대로","LINESTRING (14148594.733579177 4514468.874293946, 14148629.108051063 4514429.5879068)"
뚝섬로22길,"LINESTRING (14144347.794078024 4513815.8416335685, 14144346.483488584 4513815.407833605)"
뚝섬로22길,"LINESTRING (14144351.788186295 4513817.163667737, 14144347.794078024 4513815.8416335685)"
능동로3다길,"LINESTRING (14144726.483385643 4513664.830773146, 14144717.255316565 4513656.429533126, 14144671.73677678 4513613.193468075, 14144668.196816973 4513609.712130345)"
구의강변로1길,"LINESTRING (14147591.146998314 4513199.209986189, 14147576.696812676 4513197.981919875, 14147573.380629603 4513199.132158103)"
자양로,"LINESTRING (14147501.672487134 4512910.258927745, 14147480.50211474 4512945.67957587)"
자양로,"LINESTRING (14147480.50211474 4512945.67957587, 14147411.454160543 4513061.205332511)"
자양로,"LINESTRING (14147511.47472302 4512893.858576267, 14147501.672487134 4512910.258927745)"
강변역로,"LINESTRING (14148157.120876519 4513834.31285893, 14148157.317012755 4513834.078291317, 14148162.727140008 4513831.9445230365, 14148170.33026123 4513833.544849207, 14148173.976126099 4513834.385689114)"
천호대로,"LINESTRING (14147992.918184653 4515861.943386258, 14147999.33239142 4515859.023907565)"
자양로,"LINESTRING (14148060.179625088 4516640.8935926985, 14148067.860669954 4516674.76226566)"
자양로,"LINESTRING (14148060.179625088 4516640.8935926985, 14148044.913991695 4516617.893119309)"
자양로,"LINESTRING (14148044.913991695 4516617.893119309, 14148019.536879001 4516579.657849915)"
자양로54길,"LINESTRING (14148060.179625088 4516640.8935926985, 14148083.441320471 4516618.060177525)"
자양로54길,"LINESTRING (14148083.441320471 4516618.060177525, 14148109.060013497 4516592.913160317)"
긴고랑로,"LINESTRING (14148241.83479697 4517631.314594699, 14148239.83815128 4517600.50631585, 14148237.560938437 4517590.593582945)"
긴고랑로,"LINESTRING (14148237.560938437 4517590.593582945, 14148229.68581372 4517556.313077233, 14148215.80427322 4517532.875429673, 14148201.922732718 4517520.208730079, 14148181.654747164 4517504.47793087)"
긴고랑로,"LINESTRING (14148271.931560477 4517747.734200208, 14148254.84401864 4517701.349609822, 14148243.879048796 4517662.857437088, 14148241.83479697 4517631.314594699)"
긴고랑로,"LINESTRING (14148181.654747164 4517504.47793087, 14148135.375941122 4517468.559087157)"
긴고랑로45길,"LINESTRING (14148212.075070279 4517605.168594045, 14148194.308479548 4517601.994874326, 14148129.353556668 4517547.227296303, 14148132.64242934 4517504.265953451)"
