gid,total_count
1,989
2,957
3,958
4,934
5,1028
6,1060
7,976
8,1110
9,1015
10,966
11,1155
12,946
13,958
14,1034
15,1029
16,1032
17,1001
18,1047
19,994
20,995
21,952
22,1114
23,963
24,1055
25,935
26,1234
27,1057
28,967
29,1080
30,961
31,1009
32,974
33,970
34,1076
35,1033
36,938
37,1006
38,1044
39,1030
40,1019
41,938
42,910
43,1020
44,975
45,995
46,1012
47,1025
48,990
49,939
50,1036
51,1008
52,1230
53,1038
54,1065
55,981
56,1129
57,1127
58,1000
59,1049
60,1017
61,939
62,1053
63,1052
64,1020
65,1203
66,1017
67,982
68,1065
69,1218
70,1032
71,1034
72,1043
73,1017
74,1066
75,1045
76,1066
77,1061
78,957
79,1006
80,1053
81,1024
82,973
83,1027
84,1043
85,1061
86,972
87,1023
88,1069
89,1019
90,1174
91,1040
92,1090
93,1028
94,1035
