road_name,geometry
"영화사로, 워커힐로","LINESTRING (14148519.682046697 4516493.376995586, 14148591.863777015 4516453.817487296, 14148620.589185208 4516436.705536901)"
"영화사로, 워커힐로","LINESTRING (14148411.225639308 4516536.22716768, 14148447.649376694 4516520.992069673, 14148494.260739671 4516507.019510719)"
자양로50길,"LINESTRING (14148411.225639308 4516536.22716768, 14148414.999370044 4516540.776639036, 14148417.71556562 4516544.048327993)"
자양로50길,"LINESTRING (14148368.320466915 4516486.020759442, 14148337.476476656 4516449.928002317, 14148242.552878363 4516424.806643458)"
자양로50길,"LINESTRING (14148411.225639308 4516536.22716768, 14148374.07216082 4516492.751227498)"
자양로50길,"LINESTRING (14148242.552878363 4516424.806643458, 14148337.476476656 4516449.928002317, 14148368.320466915 4516486.020759442)"
자양로50길,"LINESTRING (14148374.07216082 4516492.751227498, 14148411.225639308 4516536.22716768)"
자양로44길,"LINESTRING (14148244.23966146 4516030.806599809, 14148275.382464692 4516041.189101346, 14148331.50975195 4516081.795494711)"
자양로44길,"LINESTRING (14148331.50975195 4516081.795494711, 14148305.657400547 4516112.772333091)"
자양로44길,"LINESTRING (14148331.50975195 4516081.795494711, 14148350.623308519 4516104.48571951, 14148352.783965888 4516112.975512111)"
자양로44길,"LINESTRING (14148331.50975195 4516081.795494711, 14148275.382464692 4516041.189101346, 14148244.23966146 4516030.806599809)"
자양로44길,"LINESTRING (14148352.783965888 4516112.975512111, 14148350.623308519 4516104.48571951, 14148331.50975195 4516081.795494711)"
영화사로,"LINESTRING (14148424.738161765 4516619.5334329195, 14148455.330421558 4516597.743489468, 14148417.71556562 4516544.048327993)"
영화사로16길,"LINESTRING (14148377.273194615 4516576.737190558, 14148367.900794184 4516584.315509259)"
영화사로16길,"LINESTRING (14148377.273194615 4516576.737190558, 14148417.71556562 4516544.048327993)"
영화사로16나길,"LINESTRING (14148377.273194615 4516576.737190558, 14148367.983680561 4516564.902102143)"
영화사로16나길,"LINESTRING (14148275.092391979 4516492.324519701, 14148242.305036515 4516482.694732361)"
자양로44길,"LINESTRING (14148305.657400547 4516112.772333091, 14148331.50975195 4516081.795494711)"
영화사로16나길,"LINESTRING (14148367.983680561 4516564.902102143, 14148377.273194615 4516576.737190558)"
영화사로16길,"LINESTRING (14148367.900794184 4516584.315509259, 14148377.273194615 4516576.737190558)"
영화사로16길,"LINESTRING (14148417.71556562 4516544.048327993, 14148377.273194615 4516576.737190558)"
자양로50길,"LINESTRING (14148417.71556562 4516544.048327993, 14148414.999370044 4516540.776639036, 14148411.225639308 4516536.22716768)"
영화사로,"LINESTRING (14148417.71556562 4516544.048327993, 14148455.330421558 4516597.743489468, 14148424.738161765 4516619.5334329195)"
영화사로16나길,"LINESTRING (14148242.305036515 4516482.694732361, 14148275.092391979 4516492.324519701)"
"워커힐로, 영화사로","LINESTRING (14148620.589185208 4516436.705536901, 14148591.863777015 4516453.817487296, 14148519.682046697 4516493.376995586)"
"워커힐로, 영화사로","LINESTRING (14148494.260739671 4516507.019510719, 14148447.649376694 4516520.992069673, 14148411.225639308 4516536.22716768)"
