시군구,위계,광역구분,종속구분,도로명,영문도로명,고시일자,시점,종점,도로폭,도로고시길이,도로물리길이,기초간격,부여사유,부여방식,부여일자,부여사유설명,도로구간일련번호
광진구,길,시군구,주도로,광장로9길,Gwangjang-ro 9-gil,2010.6.3,광장동 332-7,광장동 276-2,4,146,145.189,10,행정구역 명칭,일련번호,2010.5.28,광장로에서 분기되는 도로,140
광진구,길,시군구,주도로,용마산로14길,Yongmasan-ro 14-gil,2010.6.3,중곡동 150-93,중곡동 150-335,4,111,111.134,10,지명·자연마을이름,일련번호,2010.5.28,용마산로에서 분기되는 도로,2711
광진구,길,시군구,주도로,구의로10길,Guui-ro 10-gil,2010.6.3,구의동 224-66,구의동 224-8,4,101,101.039,10,행정구역 명칭,일련번호,2010.5.28,구의로에서 분기되는 도로,370
광진구,길,시군구,주도로,구의로11길,Guui-ro 11-gil,2010.6.3,구의동 226-24,구의동 231-34,4,207,207.48,10,행정구역 명칭,일련번호,2010.5.28,구의로에서 분기되는 도로,2394
광진구,길,시군구,주도로,구의로12길,Guui-ro 12-gil,2010.6.3,구의동 227-39,구의동 227-29,4,123,123.341,10,행정구역 명칭,일련번호,2010.5.28,구의로에서 분기되는 도로,2727
광진구,길,시군구,주도로,구의로3길,Guui-ro 3-gil,2010.6.3,구의동 221-12,구의동 241-91,4,257,256.743,10,행정구역 명칭,일련번호,2010.5.28,구의로에서 분기되는 도로,497
광진구,길,시군구,주도로,능동로27나길,Neungdong-ro 27na-gil,2010.6.3,군자동 71-1,군자동 73,4,237,237.065,10,행정구역 명칭,기타,2010.5.28,능동로에서 분기되는 도로,474
광진구,길,시군구,주도로,구의로9길,Guui-ro 9-gil,2010.6.3,구의동 225-23,구의동 239-111,4,226,226.058,10,행정구역 명칭,일련번호,2010.5.28,구의로에서 분기되는 도로,498
광진구,길,시군구,주도로,아차산로41가길,Achasan-ro 41ga-gil,2010.6.3,자양동 225-24,자양동 225-39,4,99,98.611,10,지명·자연마을이름,기타,2010.5.28,아차산로에서 분기되는 도로,1640
광진구,길,시군구,주도로,아차산로31길,Achasan-ro 31-gil,2010.6.3,화양동 7-3,화양동 10-1,4,349,349.152,10,지명·자연마을이름,일련번호,2010.5.28,아차산로에서 분기되는 도로,300
광진구,길,시군구,주도로,면목로4길,Myeonmok-ro 4-gil,2010.6.3,군자동 49-9,군자동 51-24,4,115,114.535,10,행정구역 명칭,일련번호,2010.5.28,면목로에서 분기되는 도로,152
광진구,길,시군구,주도로,면목로1길,Myeonmok-ro 1-gil,2010.6.3,군자동 48-24,군자동 60-6,4,189,188.971,10,행정구역 명칭,일련번호,2010.5.28,면목로에서 분기되는 도로,165
광진구,길,시군구,주도로,면목로15길,Myeonmok-ro 15-gil,2010.6.3,중곡동 211-24,중곡동 175-31,4,213,213.304,10,행정구역 명칭,일련번호,2010.5.28,면목로에서 분기되는 도로,2701
광진구,길,시군구,주도로,답십리로80길,Dapsimni-ro 80-gil,2010.6.3,중곡동 564-1,중곡동 569-4,4,107,106.744,10,행정구역 명칭,일련번호,2010.5.28,답십리로에서 분기되는 도로,36
광진구,길,시군구,주도로,뚝섬로28길,Ttukseom-ro 28-gil,2010.6.3,자양동 45-34,자양동 48-55,4,280,297.615,10,지명·자연마을이름,일련번호,2010.5.28,뚝섬로에서 분기되는 도로,288
광진구,길,시군구,주도로,광장로1나길,Gwangjang-ro 1na-gil,2010.6.3,광장동 394-1,광장동 378-13,4,259,258.859,10,행정구역 명칭,기타,2010.5.28,광장로에서 분기되는 도로,147
광진구,길,시군구,주도로,능동로46길,Neungdong-ro 46-gil,2010.6.3,중곡동 41-17,중곡동 44-2,4,230,230.192,10,행정구역 명칭,일련번호,2010.5.28,능동로에서 분기되는 도로,512
광진구,길,시군구,주도로,동일로76나길,Dongil-ro 76na-gil,2010.6.3,중곡동 696-8,중곡동 684-9,4,208,207.729,10,지명·자연마을이름,기타,2010.5.28,동일로에서 분기되는 도로,458
광진구,길,시군구,주도로,긴고랑로27길,Gingorang-ro 27-gil,2010.6.3,중곡동 150-183,중곡동 149-2,4,147,146.908,10,지명·자연마을이름,일련번호,2010.5.28,긴고랑로에서 분기되는 도로,56
광진구,길,시군구,주도로,동일로56라길,Dongil-ro 56ra-gil,2010.6.3,군자동 60-76,군자동 60-46,4,132,131.968,10,지명·자연마을이름,기타,2010.5.28,동일로에서 분기되는 도로,166
광진구,길,시군구,주도로,동일로56나길,Dongil-ro 56na-gil,2010.6.3,군자동 157-6,군자동 36-0,4,121,120.743,10,지명·자연마을이름,기타,2010.5.28,동일로에서 분기되는 도로,162
광진구,길,시군구,주도로,동일로4가길,Dongil-ro 4ga-gil,2010.6.3,자양동 197-9,자양동 197-31,4,105,104.816,10,지명·자연마을이름,기타,2010.5.28,동일로에서 분기되는 도로,2329
광진구,길,시군구,주도로,동일로44길,Dongil-ro 44-gil,2010.6.3,군자동 125-23,군자동 125-111,4,139,138.781,10,지명·자연마을이름,일련번호,2010.5.28,동일로에서 분기되는 도로,214
광진구,길,시군구,주도로,동일로14길,Dongil-ro 14-gil,2010.6.3,자양동 250-21,자양동 249-27,4,144,144.375,10,지명·자연마을이름,일련번호,2010.5.28,동일로에서 분기되는 도로,335
광진구,길,시군구,주도로,능동로57길,Neungdong-ro 57-gil,2010.6.3,중곡동 169-41,중곡동 169-58,4,171,190.99,10,행정구역 명칭,일련번호,2010.5.28,능동로에서 분기되는 도로,47
광진구,길,시군구,주도로,동일로10가길,Dongil-ro 10ga-gil,2010.6.3,자양동 835-19,자양동 832-33,4,148,148.02,10,지명·자연마을이름,기타,2010.5.28,동일로에서 분기되는 도로,479
광진구,길,시군구,주도로,긴고랑로47길,Gingorang-ro 47-gil,2010.6.3,중곡동 72-63,중곡동 72-79,4,113,113.187,10,지명·자연마을이름,일련번호,2010.5.28,긴고랑로에서 분기되는 도로,466
광진구,길,시군구,주도로,답십리로74길,Dapsimni-ro 74-gil,2010.6.3,중곡동 582-3,중곡동 583-11,4,79,100.108,10,행정구역 명칭,일련번호,2010.5.28,답십리로에서 분기되는 도로,37
광진구,길,시군구,주도로,뚝섬로67가길,Ttukseom-ro 67ga-gil,2010.6.3,구의동 592-24,구의동 591-3,4,101,100.841,10,지명·자연마을이름,기타,2010.5.28,뚝섬로에서 분기되는 도로,2086
광진구,길,시군구,주도로,구의로8길,Guui-ro 8-gil,2010.6.3,구의동 224-12,구의동 224-57,4,100,99.731,10,행정구역 명칭,일련번호,2010.5.28,구의로에서 분기되는 도로,382
