road_name,geometry
자양로50길,"LINESTRING (14148242.552878363 4516424.806643458, 14148337.476476656 4516449.928002317, 14148368.320466915 4516486.020759442)"
영화사로16나길,"LINESTRING (14148242.305036515 4516482.694732361, 14148275.092391979 4516492.324519701)"
용마산로22길,"LINESTRING (14147412.564493384 4518134.020674199, 14147415.038648145 4518009.67126591, 14147415.038648145 4518007.449144536)"
용마산로28길,"LINESTRING (14147477.441229826 4518477.424524485, 14147518.799545513 4518464.76248895)"
용마산로28길,"LINESTRING (14147417.643524231 4518503.018860572, 14147421.584234204 4518501.670616022, 14147461.091521489 4518482.4300616905, 14147477.441229826 4518477.424524485)"
용마산로30길,"LINESTRING (14147472.011963535 4518653.461573078, 14147476.69083821 4518649.70094097)"
용마산로30길,"LINESTRING (14147472.011963535 4518653.461573078, 14147454.334428394 4518656.059790535, 14147379.995272443 4518672.182797616)"
용마산로30길,"LINESTRING (14147350.539517663 4518671.616578038, 14147379.995272443 4518672.182797616)"
용마산로30길,"LINESTRING (14147244.831146723 4518669.584576154, 14147224.588028895 4518647.788515783)"
용마산로34길,"LINESTRING (14147417.944086855 4518869.733785223, 14147375.598152557 4518866.08216196)"
용마산로34길,"LINESTRING (14147375.598152557 4518866.08216196, 14147417.944086855 4518869.733785223)"
용마산로34길,"LINESTRING (14147375.598152557 4518866.08216196, 14147349.688098058 4518866.539579853)"
용마산로34길,"LINESTRING (14147349.688098058 4518866.539579853, 14147375.598152557 4518866.08216196)"
용마산로32길,"LINESTRING (14147438.722666485 4518767.070487148, 14147374.830048071 4518765.1574173365)"
용마산로32길,"LINESTRING (14147242.905319532 4518764.84843687, 14147350.131192723 4518765.09957023)"
영화사로16길,"LINESTRING (14148175.139263231 4516672.571751157, 14148120.893275369 4516693.100821724)"
영화사로16길,"LINESTRING (14148417.71556562 4516544.048327993, 14148377.273194615 4516576.737190558)"
영화사로11길,"LINESTRING (14148065.767863525 4516813.65024639, 14148114.698534342 4516849.952147882)"
